"significantly_different","higher_concentration"
"Nickel","rural"
"Potassium","urban"
"Silicon; reactive silicate","urban"
"Copper","urban"
"Nitrogen; total","rural"
"Carbon; dissolved organic","rural"
"Titanium","rural"
"Uranium","urban"
"Zinc","urban"
"Solids; suspended","rural"
"Sodium","urban"
"Magnesium","urban"
"Phosphorus; total","urban"
"Chloride","urban"
"Barium","urban"
"Manganese","urban"
"Calcium","urban"
"Iron","urban"
"Strontium","urban"
"Conductivity","urban"
"Lithium","urban"
"Nitrogen; nitrite","urban"
"Phosphorus; phosphate","urban"
"Nitrogen; ammonia+ammonium","urban"
"Nitrogen; nitrate+nitrite","rural"
"Nitrate","rural"
"Cobalt","rural"
"Hardness","urban"
"Solids; dissolved","urban"
"Solids; total","urban"
"Oxygen demand; biochemical","urban"
"Molybdenum","urban"
